Page,Sub-Category,Photo Link,Description,Price,URL
1,deals,https://almeera.online/deals2-1/storck-toffiffee-ositas-15-s-125gm,"STORCK Toffifee Sweets 15pcs, 125g",QAR8,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/storck-toffiffee-ositas-48-s-400gm,STORCK Toffifee Sweet 48pcs×400g,QAR25.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/storck-werthers-original-pillow-pack-1kg,Storck Werthers Original Cream Candies Pack 1000g,QAR33.50,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/storck-mint-chocolate-200gm,STORCK Mint Chocolate 200g,QAR7.50,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/qbake-original-muffin-family,QBAKE Mini Vanilla Muffins 195g,QAR4.50,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/rio-mare-salatuna-corn-2x160g,RIO MARE Salatuna Maize Recipe 160g x 2,QAR17.25,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/cif-cream-ammonia-500ml,CIF Cream Ammonia 500ml,QAR5.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/dettol-m-purpose-clnr-cit-lemon3l,DETTOL Antibacterial Floor Cleaner Lemon 3L,QAR30,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/always-thick-cpm-purple-32s-,ALWAYS Clean&Dry Maxi Thick Large Pads With Wings 32's,QAR10,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/sadia-frozen-chicken-1100g-1,SADIA Frozen Chicken 1100g,QAR11.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/siniora-mortadella-beef-papper-500g,SINIORA Mortadella Beef Pepper 500g,QAR10,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/potato-pakistan,POTATO PAKISTAN,QAR2.50,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/wahl-travel-shaver-3615-1027,WAHL TRAVEL SHAVER 3615-1027,QAR79,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/oronamin-c-juice-120ml-x-10,Oronamin C Carbonated Drink 120mlx10,QAR44.25,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/rayyan-natural-water-330ml-x-24,RAYYAN Natural Water 330ml x 24,QAR10,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/croissant-filled-cheese-90g-x4,CROISSANT FILLED CHEESE  90G X4,QAR12.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/stainless-steel-cloth-dryer,PREMIUM Stainless Steel Cloth Dryer 155x61x104cm,QAR99,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/sanita-aluminium-foil-45-x-85-s,SANITA ALU.FOIL 45X85' @ SP,QAR34.50,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/rainbow-organic-milk-1l-x-3-assorted--1,RAINBOW RTD ORGANIC FULL CRM 1LX3 VALUE PCK,QAR20,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/al-meera-facial-tissue150x2ply-j--1,AL MEERA Facial Tissue (150x2Ply) 5's,QAR15,https://almeera.online/deals2-1/
